period,stay_date,iso_year,iso_week,month,day_of_week,season,is_holiday_period,is_weekend,previous_occupancy,rolling_7_day_occupancy,known_reservations_30d_before,known_guest_count_30d_before,known_average_nights_30d_before,occupied_accommodations,active_reservations,guests_on_site,average_nights,occupancy_rate
2022-W52-D6,2023-01-01,2022,52,1,6,0,1,0,2.5,2.5,42,142.79999999999998,4.8,3.0,3.0,11.0,5.333333333333333,2.5
2023-W01-D0,2023-01-02,2023,1,1,0,0,1,0,2.5,2.5,42,142.79999999999998,4.8,6.0,6.0,16.0,5.666666666666667,5.0
2023-W01-D1,2023-01-03,2023,1,1,1,0,1,0,5.0,3.75,42,142.79999999999998,4.8,7.0,7.0,17.0,6.285714285714286,5.833333333333333
2023-W01-D2,2023-01-04,2023,1,1,2,0,1,0,5.833333333333333,4.444444444444444,42,142.79999999999998,4.8,9.0,9.0,25.0,6.111111111111111,7.5
2023-W01-D3,2023-01-05,2023,1,1,3,0,1,0,7.5,5.208333333333333,42,142.79999999999998,4.8,9.0,9.0,25.0,6.444444444444445,7.5
2023-W01-D4,2023-01-06,2023,1,1,4,0,0,1,7.5,5.666666666666666,42,142.79999999999998,4.8,9.0,9.0,27.0,6.111111111111111,7.5
2023-W01-D5,2023-01-07,2023,1,1,5,0,0,1,7.5,5.972222222222222,42,142.79999999999998,4.8,9.0,9.0,27.0,6.111111111111111,7.5
2023-W01-D6,2023-01-08,2023,1,1,6,0,0,0,7.5,6.190476190476191,42,142.79999999999998,4.8,7.0,7.0,16.0,6.285714285714286,5.833333333333333
2023-W02-D0,2023-01-09,2023,2,1,0,0,0,0,5.833333333333333,6.666666666666666,42,142.79999999999998,4.8,8.0,8.0,20.0,6.875,6.666666666666667
2023-W02-D1,2023-01-10,2023,2,1,1,0,0,0,6.666666666666667,6.904761904761905,42,142.79999999999998,4.8,8.0,8.0,20.0,6.625,6.666666666666667
2023-W02-D2,2023-01-11,2023,2,1,2,0,0,0,6.666666666666667,7.023809523809524,42,142.79999999999998,4.8,8.0,8.0,19.0,6.625,6.666666666666667
2023-W02-D3,2023-01-12,2023,2,1,3,0,0,0,6.666666666666667,6.904761904761904,42,142.79999999999998,4.8,6.0,6.0,14.0,6.666666666666667,5.0
2023-W02-D4,2023-01-13,2023,2,1,4,0,0,1,5.0,6.547619047619047,42,142.79999999999998,4.8,6.0,6.0,17.0,5.5,5.0
2023-W02-D5,2023-01-14,2023,2,1,5,0,0,1,5.0,6.19047619047619,42,142.79999999999998,4.8,6.0,6.0,17.0,5.5,5.0
2023-W02-D6,2023-01-15,2023,2,1,6,0,0,0,5.0,5.833333333333333,42,142.79999999999998,4.8,7.0,7.0,21.0,5.428571428571429,5.833333333333333
2023-W03-D0,2023-01-16,2023,3,1,0,0,0,0,5.833333333333333,5.833333333333334,42,142.79999999999998,4.8,4.0,4.0,12.0,6.0,3.3333333333333335
2023-W03-D1,2023-01-17,2023,3,1,1,0,0,0,3.3333333333333335,5.357142857142857,42,142.79999999999998,4.8,6.0,6.0,16.0,4.833333333333333,5.0
2023-W03-D2,2023-01-18,2023,3,1,2,0,0,0,5.0,5.1190476190476195,42,142.79999999999998,4.8,5.0,5.0,15.0,4.4,4.166666666666666
2023-W03-D3,2023-01-19,2023,3,1,3,0,0,0,4.166666666666666,4.761904761904761,42,142.79999999999998,4.8,7.0,7.0,20.0,4.571428571428571,5.833333333333333
2023-W03-D4,2023-01-20,2023,3,1,4,0,0,1,5.833333333333333,4.8809523809523805,42,142.79999999999998,4.8,7.0,7.0,17.0,4.142857142857143,5.833333333333333
2023-W03-D5,2023-01-21,2023,3,1,5,0,0,1,5.833333333333333,5.0,42,142.79999999999998,4.8,7.0,7.0,15.0,4.285714285714286,5.833333333333333
2023-W03-D6,2023-01-22,2023,3,1,6,0,0,0,5.833333333333333,5.119047619047619,42,142.79999999999998,4.8,7.0,7.0,18.0,4.0,5.833333333333333
2023-W04-D0,2023-01-23,2023,4,1,0,0,0,0,5.833333333333333,5.119047619047619,42,142.79999999999998,4.8,6.0,6.0,14.0,3.5,5.0
2023-W04-D1,2023-01-24,2023,4,1,1,0,0,0,5.0,5.357142857142857,42,142.79999999999998,4.8,2.0,2.0,5.0,3.0,1.6666666666666667
2023-W04-D2,2023-01-25,2023,4,1,2,0,0,0,1.6666666666666667,4.8809523809523805,42,142.79999999999998,4.8,1.0,1.0,1.0,3.0,0.8333333333333334
